,0
280,-102.88159924236513
281,-103.09641125028165
282,-104.07115782951558
283,-105.00954048251535
284,-103.87634381026953
285,-102.61064852150491
286,-99.26512841195577
287,-102.52459696843331
288,-101.2481492606885
289,-100.14291725050549
290,-104.24088642144994
291,-103.66942049108548
292,-102.06731899953013
293,-101.77441817736556
294,-101.89434694485976
295,-100.75963789366722
296,-101.48852295516497
297,-101.64942217311065
298,-97.9381641276568
299,-104.23827735748901
300,-98.44643188073105
301,-101.34504437725076
302,-99.53257924211385
303,-100.3691763559697
304,-104.85391448884403
305,-101.33712501899677
306,-103.07026276657274
307,-99.82941000966485
308,-100.70545976152457
309,-104.12570086082522
310,-104.34621143160115
311,-100.90892529309684
312,-105.3425552527712
313,-102.74678639927345
314,-101.95781065446855
315,-101.36992481883121
316,-101.16872550622531
317,-105.01876578225597
318,-102.87728972821824
319,-102.10197562734396
320,-98.78241598510945
321,-100.68373935078506
322,-104.86598991956248
323,-102.20805433980496
324,-101.26949774758731
325,-97.60776220852628
326,-100.71856078718866
327,-100.72247227250281
328,-100.18641062182917
329,-101.20704771438577
330,-100.40670657857183
331,-99.11617100050321
332,-99.55505613491073
333,-101.9287367582975
334,-99.2132198564502
335,-104.74288453540368
336,-100.42916748388228
337,-101.77796596227282
338,-101.5457333162534
339,-100.92892126408518
340,-101.09816816990823
341,-100.4645333042397
342,-100.86877149709551
343,-99.74656264947532
344,-102.85587840643797
345,-102.62840846074391
346,-101.03598343455175
347,-104.11701562297662
348,-101.41047625300223
349,-102.46507622139086
350,-102.05122534442413
351,-101.10601861585891
352,-104.6670000298111
353,-103.8441329647577
354,-103.78933540691091
355,-105.06174870025478
356,-96.75471164684298
357,-101.90739723562945
358,-104.78384344080374
359,-99.90149517385916
360,-100.66875817322284
361,-101.96732666850934
362,-102.79964865938788
363,-101.14536192226035
364,-101.00890162449159
365,-103.34416458796048
366,-98.54439361439331
367,-103.40668477764012
368,-101.61123446955236
369,-102.5520242909243
370,-102.94188787288172
371,-99.56047630745468
372,-104.35215668465355
373,-103.6510399605859
374,-101.35717549097345
375,-100.35467786744672
376,-99.11473393963215
377,-101.02069396523927
378,-102.98333660794643
379,-103.58725543387527
380,-101.11387039186036
381,-100.51934850779813
382,-101.11799601596854
383,-105.27571489024828
384,-99.53493705268752
385,-100.12348973454579
386,-102.88205524120886
387,-99.94642519972999
388,-100.79302934143851
389,-103.51953516461339
390,-100.97849695187827
391,-102.39760581740916
392,-102.28291019869792
393,-100.78637439523905
394,-100.69064552629425
395,-100.91995887802386
396,-104.0772015685022
397,-98.10165391506426
398,-99.48581745059059
399,-101.18810767993469
400,-100.51942186748275
401,-102.23613908363018
402,-102.12689629291586
403,-101.92241405806769
404,-100.97924677310596
405,-101.9969048021155
406,-103.40941473220454
407,-103.58261010227204
408,-102.096117317345
409,-103.54068565780054
410,-98.57956950637784
411,-100.06137916583708
412,-103.17923546445229
413,-101.40320312386211
414,-101.06911448326949
415,-102.27912755579834
416,-101.34273878607863
417,-104.41511287852629
418,-101.41335022330995
419,-103.75253086121126
420,-102.42029359162626
421,-104.44360670053987
422,-101.87003582182803
423,-105.14626795901441
424,-102.3012789555788
425,-98.40656131693189
426,-103.12581429034782
427,-103.95105358509048
428,-99.56134229867084
429,-105.25418144508009
430,-102.23880539155087
431,-103.13623711514265
432,-100.54237384782462
433,-104.83425089620073
434,-102.62247221493644
435,-102.14485387320724
436,-105.20787841345577
437,-102.20856218907335
438,-102.09067074351088
439,-98.80770306950699
440,-102.15916034397335
441,-103.15717962466348
442,-101.3230924575131
443,-102.80431377289392
444,-102.24200301076857
445,-100.44130130667284
446,-102.16114144733035
447,-101.83264737762534
448,-101.17050155474308
449,-102.71906994295847
450,-99.08976353579592
451,-101.34445163870313
452,-101.6374087546632
453,-105.52908680090397
454,-102.90297635076962
455,-102.5363028584533
456,-100.07593971049553
457,-101.64202263827661
458,-101.33694873737596
459,-104.8219521928321
460,-101.724918458903
461,-103.89919698403591
462,-102.67367542169498
463,-104.10768229304958
464,-96.93289284801335
465,-104.60014314254562
466,-105.00557588963693
467,-100.06813286547612
468,-99.15744192282457
469,-101.06592707258463
470,-102.34310465520903
471,-102.05568742313011
472,-101.64216430999574
473,-104.45124438592438
474,-102.26956667026116
475,-104.72813378660953
476,-102.29865961612165
477,-100.28922463299531
478,-105.82049545101077
479,-107.42694843046525
480,-101.69528285867113
481,-103.2630098245547
482,-102.58907219638931
483,-100.2896656787423
484,-102.31304388434523
485,-102.67683064447661
486,-102.3819882706783
487,-102.13627676107782
488,-102.37312944642184
489,-102.96062792217083
490,-103.3145979040334
491,-99.45648178126643
492,-104.46079793531837
493,-101.71002480058556
494,-102.89462423874704
495,-101.41657171419956
496,-98.92439159953402
497,-102.72415982297034
498,-101.30963927075598
499,-102.18898217947446
500,-100.79282665290063
501,-100.41472422087216
502,-100.95502856135218
503,-103.79502367382833
504,-104.59011663134726
505,-105.68496666876118
506,-101.54413468526874
507,-103.3281019398006
508,-100.16714953289139
509,-103.15657649196274
510,-101.59081904503154
511,-103.81212067965706
512,-100.36954881890088
513,-103.62707578332979
514,-99.24948718151995
515,-103.82775201197796
516,-101.58819037924269
517,-99.95453041523982
518,-101.00654559736154
519,-102.9626259672973
520,-101.69442715808205
521,-100.59891567561056
522,-100.63190448079015
523,-102.87644509614518
524,-102.64451875823241
525,-99.13137162890601
526,-103.58269326634877
527,-99.94991685463896
528,-100.6426004263767
529,-97.88020299819502
530,-101.97285052958242
531,-103.86572457776705
532,-104.6662681394958
533,-101.77376963011727
534,-99.60533608192094
535,-101.82483687390501
536,-100.92418245724463
537,-101.02482740154326
538,-100.6567736312999
539,-105.05031876972677
540,-101.46352953238767
541,-96.97522890410934
542,-101.92195175630656
543,-102.9135801701787
544,-103.60167112739683
545,-103.20952322733933
546,-102.9240354894167
547,-100.37669667063574
548,-101.23267394748314
549,-101.75591693622053
550,-99.92299140657846
551,-101.60576105605162
552,-99.5922638527658
553,-99.4357510272201
554,-103.75205631553047
555,-100.17371564621467
556,-101.81817018505112
557,-102.53203333852264
558,-104.79988945285206
559,-101.00868349048338
560,-100.26096138409332
561,-104.0725291696152
562,-100.99424709158941
563,-100.85439513850758
564,-100.03046540672298
565,-101.68693437580711
566,-100.58809110751162
567,-101.27614197374095
568,-101.14986677038655
569,-102.53191240448879
570,-101.69170388647171
571,-102.7971851657627
572,-100.97979754466184
573,-101.09226771610628
574,-107.34737494369116
575,-100.62897368835536
576,-103.26558583784688
577,-102.91033438057758
578,-102.64487288901242
579,-99.78787904071291
580,-97.25560891242903
581,-103.16403796226453
582,-99.3856288950019
583,-100.65535686446597
584,-106.18916767711443
585,-105.31772896750832
586,-104.55581501099181
587,-102.33225342853342
588,-101.74083100855012
589,-101.7692487389595
590,-101.18069700952375
591,-105.34861653331612
592,-103.60658932000308
593,-106.38721603760396
594,-100.97992935954295
595,-102.31610882708034
596,-102.81848901373615
597,-101.39720405219938
598,-102.33657870984413
599,-100.3661970621605
600,-101.04818292672377
601,-99.90592675647437
602,-102.61974986679553
603,-101.15238689598746
604,-101.5937889333486
605,-101.38236998133806
606,-98.95382078161589
607,-104.26809768044058
608,-103.06176472950278
609,-101.10076227418324
610,-104.29746730138584
611,-102.78525040963262
612,-106.36626480698354
613,-101.77331946882194
614,-99.67446417664564
615,-99.78821674475253
616,-103.16933166005265
617,-102.31089846332046
618,-100.49755355585484
619,-102.16478761936654
620,-102.08201215993915
621,-103.92103337473537
622,-98.95940935149562
623,-99.70800248125403
624,-101.67720314663487
625,-99.94354468334305
626,-106.15825391560787
627,-100.3777379139886
628,-102.50637413556836
629,-101.68214227691459
630,-103.38070517775984
631,-98.95175483160753
632,-101.10262128729914
633,-101.8037991819096
634,-99.71360403386234
635,-102.61182811056
636,-102.10250055197065
637,-103.68320784830848
638,-101.67572443428722
639,-100.9486952699499
640,-101.05870860419896
641,-100.61327398269631
642,-104.71164107419924
643,-103.49000268437453
644,-101.19941239917551
645,-101.71099963793245
