,0
0,376.6704841872319
1,273.42175287382787
2,393.22642046865326
3,376.5715913623983
4,374.3648419805745
5,360.58254770270554
6,338.2249198325126
7,403.57650868189785
8,355.5796893736283
9,349.96089706656204
10,403.8598338622169
11,390.233270741842
12,322.0205402954331
13,387.9710246458424
14,333.97257828129233
15,431.76063919800083
16,447.00554789241585
17,385.16354134665335
18,445.1620414406396
19,304.5080510886971
20,386.7614068191261
21,298.46410856644934
22,375.51103257302475
23,310.6388279385107
24,319.99867528887216
25,400.1815404967759
26,342.456594851845
27,314.0339977830592
28,341.34986666840626
29,363.6627877740514
30,381.31978425684224
31,337.62971483248066
32,406.81772288750955
33,383.5421232898076
34,386.76004678328127
35,369.3579700642225
36,433.4263234493795
37,397.6902514268111
38,328.9653321578016
39,416.48814649254024
40,490.5749996520371
41,386.0012134882146
42,456.86842669386556
43,362.37314300581085
44,395.7913493519371
45,375.42598737765064
46,376.7810869576464
47,430.0401344998933
48,391.1742469856284
49,483.4037166658498
50,392.429285198923
51,305.4543054477835
52,366.2238882679374
53,446.2210984740711
54,372.26973613510427
55,274.62355571871296
56,346.43117280890084
57,299.30043606176196
58,530.9546342603661
59,495.3957746662097
60,434.78332078075044
61,400.9412872080152
62,427.82397459365677
63,330.57635031325117
64,354.46915891051594
65,389.49503785371576
66,364.72194179354887
67,288.2487201471617
68,508.963702653694
69,377.4577295693541
70,386.5806086076678
71,359.4922920527336
72,348.7047272148189
73,369.3575517247422
74,441.70941420856326
75,422.6708959344694
76,368.1925782586403
77,257.132307428332
78,434.1952499414898
79,350.41103821400765
80,398.0876026932557
81,273.05891593106344
82,410.23001139355443
83,369.4533549688354
84,385.5753055495981
85,373.5547940312157
86,363.82617714039225
87,393.418866437744
88,497.48099133115153
89,315.83125743706546
90,357.82383685785607
91,285.82170244924674
92,422.9645030957626
93,409.4890701334894
94,340.23358778421886
95,373.8290713781513
96,407.35046535765434
97,410.11588981401155
98,330.86290450869967
99,454.51230190665416
100,430.3214953918757
101,321.85304721490405
102,450.9223771777363
103,424.8305694584452
104,434.43798196393624
105,392.3032855969591
106,341.4536855270478
107,466.7576631396125
108,399.4855224355804
109,363.1006988806988
110,349.42227816587535
111,465.04897795866657
112,374.2711808714563
113,391.843049026945
114,401.9376149601082
115,440.39408831172955
116,404.22996106474864
117,332.27067000411694
118,399.3621936624985
119,384.441970267205
120,392.9698334474805
121,416.2829890442024
122,346.180387350699
123,334.44617965477056
124,315.1632446323738
125,351.2263087418794
126,251.84181697086393
127,405.11615018298966
128,354.8303043720999
129,334.58828073900617
130,310.21603636424607
131,352.89740620866496
132,340.2908178468434
133,353.2127299218803
134,381.8470464478572
135,393.2021907173275
136,444.80884757493783
137,517.6505327131921
138,290.1217036062951
139,343.6236441809335
140,407.26807578882773
141,328.7688414430619
142,451.2579929787893
143,340.78033212124814
144,423.5635258491405
145,408.78296396425884
146,434.4997624289048
147,278.1458193888818
148,343.1395005453616
149,417.1361152140585
150,307.49230382068407
151,277.59963142486697
152,364.80121226941594
153,399.14238600327116
154,291.9892894764096
155,298.63536791383416
156,286.90839416922637
157,370.6032842654765
158,411.21972903500966
159,336.86089181219864
160,452.962710138504
161,376.13992300741495
162,403.63282425429077
163,354.0311825227931
164,402.9670708724008
165,483.3546022785022
166,378.4336996309201
167,338.713048239952
168,375.1043066273907
169,377.9297993533584
170,387.10562180009043
171,389.73735740872115
172,286.22864807898753
173,329.46315438000886
174,378.757439609085
175,417.69836267469947
176,430.2397837384222
177,430.1456097746747
178,386.4032941083173
179,485.24813955852477
180,360.8282560565973
181,383.3079834861625
182,424.75720232249483
183,447.9913905277986
184,373.488575879453
185,445.68377017656184
186,377.92931236410806
187,419.0176727886545
188,247.6799529187193
189,272.7169599194559
190,476.2410013716973
191,312.49807890842004
192,410.19291098198715
193,352.8124215664881
194,337.4441189910189
195,369.5758905482348
196,469.7193530880738
197,396.2524875696313
198,466.09347085822736
199,416.74049353535815
200,386.1765485015872
201,386.88343941558816
202,341.05906613609693
203,235.46994992975272
204,373.98968678175413
205,395.2370475487145
206,453.046465284541
207,412.68934059215263
208,444.13697044706055
209,469.82670243850976
210,476.56776068150896
211,438.12725300291504
212,321.1622503266763
213,363.16222309506225
214,339.0067256225317
215,450.5063040143022
216,433.16147222072874
217,363.5338022620528
218,396.0853953221399
219,435.7994750462253
220,441.9738424573518
221,338.45811114329564
222,421.6010586854292
223,435.4396321997917
224,286.6739651361426
225,314.10988976622116
226,376.53647753186783
227,341.46213510489343
228,454.2121170069344
229,419.69279355633563
230,418.55089967745147
231,428.75247635325957
232,360.6484074845089
233,342.9553184960025
234,404.654547102583
235,373.4914274224284
236,474.48862001992813
237,407.1347599810974
238,369.35913349353353
239,447.2956479783322
240,368.43314925186206
241,332.6263092619178
242,431.0351875216661
243,381.96325942971265
244,348.65750405345113
245,415.1041645868125
246,505.49819622839993
247,346.26168978825814
248,432.7407871704357
249,427.33101867620377
250,317.9797808976714
251,443.31854893430807
252,380.43848247795574
253,319.6140708275673
254,391.28198265036883
255,355.05494888112315
256,332.04973121044185
257,304.3485776716983
258,337.0420693415095
259,375.7272890654384
260,407.0354049219574
261,307.4255354576985
262,419.01485590716896
263,312.37018123868296
264,332.0216941107099
265,418.6043331835822
266,455.57949514785065
267,508.9428333748141
268,408.76515663343326
269,382.7671137845207
